dataid,devicename,sensor,sensorid,value,dbtimestamp
68788173,NDS016,Soil Phosphorus,13,323.0,2025-04-11 00:01:55.304135
68788171,NDS016,Soil pH,10,6.0,2025-04-11 00:01:55.304135
68788170,NDS016,Soil EC,11,760.0,2025-04-11 00:01:55.304135
68788168,NDS016,Soil Moisture,9,29.0,2025-04-11 00:01:55.304135
68788174,NDS016,Soil Potassium,14,318.0,2025-04-11 00:01:55.304135
68788172,NDS016,Soil Nitrogen,12,120.0,2025-04-11 00:01:55.304135
68788169,NDS016,Soil Temperature,8,26.7,2025-04-11 00:01:55.304135
68750197,NDS016,Soil Phosphorus,13,330.0,2025-04-10 00:01:09.873431
68750194,NDS016,Soil EC,11,773.0,2025-04-10 00:01:09.873431
68750195,NDS016,Soil pH,10,5.8,2025-04-10 00:01:09.873431
68750193,NDS016,Soil Temperature,8,26.0,2025-04-10 00:01:09.873431
